training_asset,evaluation_asset,sample_period,strategy,strategy_family,optimized_on,ma_short_window,ma_long_window,total_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_trade_return,best_trade_return,worst_trade_return,avg_holding_days
SPY,AAPL,Test,Bollinger Mean Reversion,Bollinger,fixed parameters,,,0.0167,0.0111,0.1985,0.2641,0.1519,0.1142,-0.1748,0.0638,7,71.4286,0.0308,0.1061,-0.0159,15.5714
SPY,AAPL,Test,Buy and Hold,Benchmark,not applicable,,,0.1063,0.0699,0.2917,0.2153,0.3756,0.5089,-0.3336,0.2094,1,100.0,0.1007,0.1007,0.1007,547.0
SPY,AAPL,Test,"MA Crossover (30,200)",MA,SPY train split,30.0,200.0,0.0579,0.0383,0.1954,0.1691,0.2902,0.3351,-0.1896,0.2021,2,50.0,0.0357,0.0851,-0.0138,197.0
SPY,AAPL,Test,RSI Mean Reversion,RSI,fixed parameters,,,0.1397,0.0913,0.1891,0.2153,0.5531,0.4856,-0.1037,0.8805,6,50.0,0.0343,0.2188,-0.0242,22.5
SPY,AAPL,Train,Bollinger Mean Reversion,Bollinger,fixed parameters,,,0.3285,0.0849,0.1422,0.1997,0.6444,0.4587,-0.1763,0.4818,15,80.0,0.0336,0.098,-0.0494,17.8
SPY,AAPL,Train,Buy and Hold,Benchmark,not applicable,,,0.9343,0.2085,0.2668,0.176,0.843,1.2774,-0.3091,0.6744,1,100.0,0.8986,0.8986,0.8986,1273.0
SPY,AAPL,Train,"MA Crossover (30,200)",MA,SPY train split,30.0,200.0,-0.0246,-0.0071,0.1819,0.1761,0.0515,0.0532,-0.3166,-0.0225,4,50.0,0.0126,0.1952,-0.214,163.25
SPY,AAPL,Train,RSI Mean Reversion,RSI,fixed parameters,,,0.3423,0.0882,0.1643,0.2129,0.5967,0.4603,-0.1725,0.511,16,68.75,0.0197,0.0872,-0.0715,22.9375
SPY,QQQ,Test,Bollinger Mean Reversion,Bollinger,fixed parameters,,,-0.006,-0.004,0.1513,0.2331,0.0473,0.0307,-0.1091,-0.0365,6,66.6667,0.0131,0.1057,-0.063,14.6667
SPY,QQQ,Test,Buy and Hold,Benchmark,not applicable,,,0.1658,0.108,0.2159,0.1625,0.5817,0.7729,-0.2277,0.4741,1,100.0,0.1571,0.1571,0.1571,547.0
SPY,QQQ,Test,"MA Crossover (30,200)",MA,SPY train split,30.0,200.0,0.0501,0.0332,0.161,0.1318,0.2835,0.3463,-0.1319,0.2516,2,50.0,0.0233,0.0707,-0.0242,242.5
SPY,QQQ,Test,RSI Mean Reversion,RSI,fixed parameters,,,0.1001,0.0659,0.1382,0.2141,0.5283,0.3409,-0.0784,0.8402,3,66.6667,0.0107,0.115,-0.1118,22.3333
SPY,QQQ,Train,Bollinger Mean Reversion,Bollinger,fixed parameters,,,0.0923,0.0257,0.1396,0.1937,0.2515,0.1812,-0.1594,0.1611,15,73.3333,0.0097,0.0649,-0.0836,19.5333
SPY,QQQ,Train,Buy and Hold,Benchmark,not applicable,,,0.5787,0.14,0.2267,0.1563,0.6915,1.0028,-0.3512,0.3987,1,100.0,0.5549,0.5549,0.5549,1273.0
SPY,QQQ,Train,"MA Crossover (30,200)",MA,SPY train split,30.0,200.0,0.4259,0.1072,0.1299,0.1295,0.849,0.8515,-0.1642,0.6527,2,50.0,0.2689,0.6183,-0.0806,310.0
SPY,QQQ,Train,RSI Mean Reversion,RSI,fixed parameters,,,0.3174,0.0823,0.1466,0.2019,0.6133,0.4452,-0.1594,0.5165,13,76.9231,0.0169,0.08,-0.0696,24.3846
SPY,SPY,Test,Bollinger Mean Reversion,Bollinger,fixed parameters,,,0.0762,0.0503,0.1339,0.2025,0.432,0.2857,-0.1054,0.4772,9,66.6667,0.0115,0.0898,-0.0626,10.2222
SPY,SPY,Test,Buy and Hold,Benchmark,not applicable,,,0.1323,0.0866,0.1749,0.1361,0.5614,0.7215,-0.1876,0.4617,1,100.0,0.1278,0.1278,0.1278,547.0
SPY,SPY,Test,"MA Crossover (30,200)",MA,SPY train split,30.0,200.0,0.0217,0.0144,0.1256,0.1112,0.177,0.1999,-0.1226,0.1176,2,50.0,-0.0205,0.0705,-0.1115,242.0
SPY,SPY,Test,RSI Mean Reversion,RSI,fixed parameters,,,0.0367,0.0244,0.1203,0.1602,0.2585,0.1941,-0.072,0.3388,4,50.0,-0.0017,0.0921,-0.094,18.0
SPY,SPY,Train,Bollinger Mean Reversion,Bollinger,fixed parameters,,,0.2622,0.0691,0.1036,0.1482,0.6972,0.4873,-0.0924,0.748,16,68.75,0.0161,0.0585,-0.0309,16.0
SPY,SPY,Train,Buy and Hold,Benchmark,not applicable,,,0.5223,0.1282,0.1681,0.1186,0.8016,1.1363,-0.245,0.5233,1,100.0,0.5162,0.5162,0.5162,1273.0
SPY,SPY,Train,"MA Crossover (30,200)",MA,SPY train split,30.0,200.0,0.2819,0.0739,0.0967,0.0922,0.7856,0.824,-0.1576,0.4687,2,50.0,0.1747,0.4198,-0.0703,324.0
SPY,SPY,Train,RSI Mean Reversion,RSI,fixed parameters,,,0.2563,0.0677,0.1082,0.1487,0.6593,0.4799,-0.1288,0.5253,13,76.9231,0.0209,0.0717,-0.0519,23.3846
