strategy,sample_period,total_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_trade_return,best_trade_return,worst_trade_return,avg_holding_days,training_asset,evaluation_asset,strategy_family,optimized_on,ma_short_window,ma_long_window
"MA Crossover (30,200)",Train,0.28191447281154214,0.07388374190298119,0.09669976377245548,0.09218855065925004,0.7855694635958509,0.8240110188667036,-0.15764525033114019,0.4686709034860576,2,0.5,0.1747286978958671,0.419794114674805,-0.0703367188830708,324.0,SPY,SPY,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Train,0.25629882327847486,0.06768036893766594,0.10822841722838392,0.1486821299584911,0.6593042244672631,0.4799194947368589,-0.12883001185010623,0.5253462913316508,13,0.7692307692307693,0.020880194004086798,0.07174180586015955,-0.05194616255905482,23.384615384615383,SPY,SPY,RSI,fixed parameters,,
Bollinger Mean Reversion,Train,0.26223871934725174,0.06912681590795788,0.1035680398015966,0.14817794599727005,0.6972399181938777,0.4873314386480689,-0.09241212310835833,0.7480275702236909,16,0.6875,0.01612962340538751,0.05846406791610281,-0.030921072387697368,16.0,SPY,SPY,Bollinger,fixed parameters,,
Buy and Hold,Train,0.5223384773603741,0.1281935996437693,0.1681465305273979,0.11861757793360389,0.8015693752490118,1.1362659040347194,-0.24496379256133882,0.5233165207942708,1,1.0,0.516192686293121,0.516192686293121,0.516192686293121,1273.0,SPY,SPY,Benchmark,not applicable,,
"MA Crossover (30,200)",Test,0.021650976527122223,0.014420817681289888,0.12564719046242445,0.11124712979609364,0.17698440805893795,0.19989363922485381,-0.1226139186816626,0.11761158795299623,2,0.5,-0.020502098661638546,0.0704659582042555,-0.11147015552753259,242.0,SPY,SPY,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Test,0.036694753856111983,0.024381225078594193,0.12025937250293767,0.16018119537315348,0.25851520112429327,0.19408567776794577,-0.07196479309534476,0.3387937911013234,4,0.5,-0.001725022810444371,0.09213304335740657,-0.09402100596664498,18.0,SPY,SPY,RSI,fixed parameters,,
Bollinger Mean Reversion,Test,0.07617731945395922,0.05029735472975405,0.133930531168872,0.20248915051336383,0.4319605990997674,0.2857077148814344,-0.10539155761712304,0.47724273050863614,9,0.6666666666666666,0.011511125963203373,0.08977208888506594,-0.06258320542909501,10.222222222222221,SPY,SPY,Bollinger,fixed parameters,,
Buy and Hold,Test,0.13229510406906542,0.08659700998834108,0.17490131382216498,0.1360770879539414,0.5613796466664902,0.7215471702938363,-0.18755233666641336,0.46172184003425837,1,1.0,0.12782332235573657,0.12782332235573657,0.12782332235573657,547.0,SPY,SPY,Benchmark,not applicable,,
"MA Crossover (30,200)",Train,0.4258872096415487,0.1071970033671783,0.12990361829748842,0.1295181070895231,0.8489987704508097,0.8515258189763979,-0.16423631387412252,0.652699764373295,2,0.5,0.2688603640392348,0.6183195769779886,-0.08059884889951896,310.0,SPY,QQQ,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Train,0.3173829380449489,0.08232891927043284,0.14656177760718567,0.20192286482527655,0.6133138193359511,0.4451618872915138,-0.15939817503756215,0.5164985060276384,13,0.7692307692307693,0.016932192426819263,0.0800147984450883,-0.06957083587957913,24.384615384615383,SPY,QQQ,RSI,fixed parameters,,
